Name,ID,Gender,Age,Country,Genres,Popularity,Followers,URI
Drake,3TVXtAsR1Inumwj472S9r4,male,33,CA,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",95,83298497,spotify:artist:3TVXtAsR1Inumwj472S9r4
Post Malone,246dkjvS1zLTtiykXe5h60,male,25,US,"['dfw rap', 'melodic rap', 'pop', 'rap']",86,43130108,spotify:artist:246dkjvS1zLTtiykXe5h60
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,male,29,GB,"['pop', 'singer-songwriter pop', 'uk pop']",87,115998928,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,male,35,CO,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",83,38028010,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5
Bad Bunny,4q3ewBCX7sLwd24euuV69X,male,26,PR,"['reggaeton', 'trap latino', 'urbano latino']",95,77931484,spotify:artist:4q3ewBCX7sLwd24euuV69X
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,male,26,CA,"['canadian pop', 'pop']",88,75112165,spotify:artist:1uNFoZAHBGtllmzznpCI3s
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,male,28,PR,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",84,38192380,spotify:artist:1i8SpTcr7yvPOmcqrbnVXY
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,female,27,US,['pop'],88,95710972,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
Khalid,6LuN9FCkKOj5PcnpouEgny,male,22,US,"['pop', 'pop r&b']",81,16282583,spotify:artist:6LuN9FCkKOj5PcnpouEgny
Daddy Yankee,4VMYDCV2IEDYJArk749S6m,male,43,PR,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",84,34243502,spotify:artist:4VMYDCV2IEDYJArk749S6m
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,male,28,US,"['hip hop', 'rap', 'slap house']",90,25672786,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,male,30,CA,"['canadian contemporary r&b', 'canadian pop', 'pop']",93,75945958,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ
XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,male,20,US,"['emo rap', 'miami hip hop', 'rap']",84,43832734,spotify:artist:15UsOTVnJzReFVN1VCnxy4
