City,Country,Venue,Opening act(s),Attendance (tickets sold / available),Revenue,Tour
Evansville,United States,Roberts Municipal Stadium,"Gloriana
Kellie Pickler","7,463 / 7,463","$360,617",Fearless_Tour
Jonesboro,United States,Convocation Center,"Gloriana
Kellie Pickler","7,822 / 7,822","$340,328",Fearless_Tour
St. Louis,United States,Scottrade Center,"Gloriana
Kellie Pickler","13,764 / 13,764","$650,420",Fearless_Tour
Alexandria,United States,Bishop Ireton High School,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
North Charleston,United States,North Charleston Coliseum,"Gloriana
Kellie Pickler","8,751 / 8,751","$398,154",Fearless_Tour
Jacksonville,United States,Jacksonville Veterans Memorial Arena,"Gloriana
Kellie Pickler","11,072 / 11,072","$507,012",Fearless_Tour
Biloxi,United States,Mississippi Coast Coliseum,"Gloriana
Kellie Pickler","9,436 / 9,436","$437,313",Fearless_Tour
London,England,Shepherd's Bush Empire,—,"6,789 / 6,789","$401,328",Fearless_Tour
London,England,Shepherd's Bush Empire,—,"6,789 / 6,789","$401,328",Fearless_Tour
Spokane,United States,Spokane Arena,"Gloriana
Kellie Pickler","10,798 / 10,798","$482,146",Fearless_Tour
Seattle,United States,KeyArena,"Gloriana
Kellie Pickler","12,061 / 12,061","$528,637",Fearless_Tour
Portland,United States,Rose Garden Arena,"Gloriana
Kellie Pickler","13,226 / 13,226","$613,284",Fearless_Tour
Nampa,United States,Ford Arena,"Gloriana
Kellie Pickler","8,970 / 8,970","$413,622",Fearless_Tour
Glendale,United States,Jobing.com Arena,"Gloriana
Kellie Pickler","13,052 / 13,052","$647,923",Fearless_Tour
Los Angeles,United States,Staples Center,"Gloriana
Kellie Pickler","13,648 / 13,648","$720,940",Fearless_Tour
Paradise,United States,Mandalay Bay Events Center,"Gloriana
Kellie Pickler","8,311 / 8,311","$551,051",Fearless_Tour
San Diego,United States,Valley View Casino Center,"Gloriana
Kellie Pickler","10,174 / 10,174","$502,689",Fearless_Tour
Salt Lake City,United States,EnergySolutions Arena,"Gloriana
Kellie Pickler","13,042 / 13,042","$555,207",Fearless_Tour
New Brockton,United States,BamaJam Farms,—,—,—,Fearless_Tour
Columbia,United States,Merriweather Post Pavilion,"Gloriana
Kellie Pickler","17,619 / 17,619","$608,438",Fearless_Tour
Greensboro,United States,Greensboro Coliseum,"Gloriana
Kellie Pickler","14,641 / 14,641","$690,959",Fearless_Tour
Oshkosh,United States,Ford Festival Park,—,—,—,Fearless_Tour
Cadott,United States,Amphitheatre Concert Grounds,—,—,—,Fearless_Tour
Calgary,Canada,Pengrowth Saddledome,"Gloriana
Kellie Pickler",—,—,Fearless_Tour
Edmonton,Canada,Commonwealth Stadium,—,"33,910 / 44,500","$2,540,906",Fearless_Tour
Craven,Canada,Big Valley Park,—,—,—,Fearless_Tour
Winnipeg,Canada,MTS Centre,"Gloriana
Kellie Pickler","11,369 / 11,369","$512,487",Fearless_Tour
Twin Lakes,United States,Country Thunder Festival,—,—,—,Fearless_Tour
